t,x,y,z,vx,vy,vz,mass,P
0.41000000000000025,1.6561947571058584,2.0454648406184797,0.0711429042053555,8.385567290188325,10.538830566151942,0.36061222018928935,0.15815699232938918,230493.07038790733
0.41500000000000026,1.6984351823207515,2.0985851198647967,0.07295972551039144,8.510602795768902,10.7092811323748,0.36611630182508786,0.15494725008208343,229449.69641049544
0.42000000000000026,1.7413041085415848,2.152563807285622,0.07480423137934517,8.63696769256441,10.882193835955436,0.37168604575640346,0.15175049770104088,228418.56672426008
0.42500000000000027,1.7845749234128017,2.207008546267317,0.0766664676104375,8.671358255922303,10.895701756722437,0.3732084466805264,0.15,227857.2949016281
0.43000000000000027,1.827916301001979,2.2613451043748505,0.07853184645071361,8.665192779748624,10.838921486291039,0.37294308942991883,0.15,227857.2949016281
0.4350000000000003,1.871226915490776,2.315397928756561,0.08039590127131838,8.659053015770105,10.78220826639319,0.3726788388119902,0.15,227857.2949016281
0.4400000000000003,1.9145068951685333,2.3691673536607256,0.08225863759372426,8.652938855332877,10.72556169527271,0.3724156901503633,0.15,227857.2949016281
0.4450000000000003,1.9577563677821073,2.4226537113314883,0.08412006091605558,8.646850190096739,10.668981373032413,0.37215363878216096,0.15,227857.2949016281
0.4500000000000003,2.000975460537423,2.475857332018129,0.08598017671315539,8.640786912029473,10.612466901623804,0.3718926800577615,0.15,227857.2949016281
0.4550000000000003,2.0441643001009995,2.5287785439842807,0.08783899043665118,8.634748913401168,10.556017884836901,0.3716328093405541,0.15,227857.2949016281
0.4600000000000003,2.087323012601449,2.5814176735170986,0.0896965075150193,8.62873608677854,10.499633928290196,0.3713740220066946,0.15,227857.2949016281
0.4650000000000003,2.1304517236309435,2.633775044936376,0.09155273335364819,8.622748325019256,10.443314639420768,0.37111631344486123,0.15,227857.2949016281
0.4700000000000003,2.1735505582466574,2.685850980603614,0.09340767333490037,8.616785521266264,10.38705962747453,0.37085967905601047,0.15,227857.2949016281
0.4750000000000003,2.2166196409721786,2.737645800931042,0.09526133281817323,8.610847568942125,10.330868503496617,0.370604114253133,0.15,227857.2949016281
0.4800000000000003,2.259659095798892,2.7891598243905884,0.09711371713995859,8.60493436174334,10.274740880321911,0.37034961446100967,0.15,227857.2949016281
0.4850000000000003,2.302669046187337,2.8403933675228075,0.09896483161390103,8.59904579363468,10.21867637256571,0.3700961751159677,0.15,227857.2949016281
0.4900000000000003,2.3456496150685324,2.891346744945758,0.10081468153085504,8.59318175884353,10.162674596614542,0.36984379166563675,0.15,227857.2949016281
0.49500000000000033,2.3886009248452766,2.942020269363837,0.1026632721589409,8.587342151854214,10.106735170617105,0.369592459568705,0.15,227857.2949016281
0.5000000000000003,2.431523097393418,2.992414251576568,0.10451060874359935,8.581526867402332,10.05085771447536,0.3693421742946754,0.15,227857.2949016281
0.5050000000000003,2.4744162540630965,3.0425290004873458,0.1063566965076451,8.575735800469094,9.995041849835758,0.3690929313236218,0.15,227857.2949016281
0.5100000000000003,2.5172805156799583,3.0923648231121366,0.10820154065131901,8.569968846275659,9.939287200080612,0.3688447261459451,0.15,227857.2949016281
0.5150000000000003,2.560116002546341,3.141922024588137,0.1100451463523392,8.564225900277462,9.8835933903196,0.3685975542621294,0.15,227857.2949016281
0.5200000000000004,2.602922834442431,3.1912009081823896,0.11188751876595077,8.558506858158552,9.827960047381419,0.36835141118249815,0.15,227857.2949016281
0.5250000000000004,2.6457011306273923,3.240201775300357,0.11372866302497443,8.552811615825922,9.77238679980557,0.36810629242697007,0.15,227857.2949016281
0.5300000000000004,2.688451009840467,3.288924925494457,0.1155685842398539,8.547140069403842,9.716873277834297,0.36786219352481536,0.15,227857.2949016281
0.5350000000000004,2.7311725903020467,3.337370656472554,0.11740728749870197,8.541492115228186,9.661419113404648,0.36761911001441144,0.15,227857.2949016281
0.5400000000000004,2.773865989714719,3.3855392641064173,0.1192447778673455,8.53586764984076,9.606023940140693,0.367377037442999,0.15,227857.2949016281
0.5450000000000004,2.81653132526428,3.4334310424401338,0.12108106038936908,8.53026656998363,9.550687393345873,0.3671359713664376,0.15,227857.2949016281
0.5500000000000004,2.8591687136207224,3.481046283698487,0.12291614008615757,8.524688772593441,9.495409109995501,0.36689590734896155,0.15,227857.2949016281
0.5550000000000004,2.9017782709391953,3.5283852782952994,0.12475002195693732,8.519134154795747,9.44018872872939,0.3666568409629354,0.15,227857.2949016281
0.5600000000000004,2.944360112860933,3.5754483148417346,0.12658271097881618,8.513602613899321,9.385025889844638,0.36641876778860943,0.15,227857.2949016281
0.5650000000000004,2.9869143545141577,3.6222356801545676,0.12841421210682238,8.508094047390475,9.329920235288538,0.3661816834138751,0.15,227857.2949016281
0.5700000000000004,3.029441110514952,3.668747659264418,0.13024453027394212,8.502608352927373,9.274871408651654,0.36594558343402017,0.15,227857.2949016281
0.5750000000000004,3.0719404949681066,3.7149845354239495,0.1320736703911559,8.497145428334344,9.21987905516101,0.365710463451484,0.15,227857.2949016281
0.5800000000000004,3.114412621467933,3.7609465901160357,0.13390163734747362,8.491705171596186,9.164942821673453,0.3654763190756125,0.15,227857.2949016281
0.5850000000000004,3.1568576030990547,3.806634103061892,0.1357284360099687,8.486287480852473,9.11006235666913,0.36524314592241297,0.15,227857.2949016281
0.5900000000000004,3.1992755524371654,3.852047352229178,0.1375540712238105,8.480892254391856,9.055237310245138,0.36501093961430875,0.15,227857.2949016281
0.5950000000000004,3.241666581549761,3.897186613840064,0.139378547812296,8.475519390646356,9.000467334109286,0.36477969577989394,0.15,227857.2949016281
0.6000000000000004,3.2840308019968414,3.9420521623792726,0.14120187057687997,8.470168788185669,8.945752081574035,0.36454941005368785,0.15,227857.2949016281
0.6050000000000004,3.3263683248315843,3.986644270602084,0.14302404429720392,8.464840345711448,8.891091207550556,0.36432007807588923,0.15,227857.2949016281
0.6100000000000004,3.368679260600992,4.030963209542318,0.14484507373112396,8.459533962051593,8.836484368542946,0.36409169549213044,0.15,227857.2949016281
0.6150000000000004,3.4109637193465074,4.075009248520281,0.14666496361473735,8.454249536154537,8.781931222642589,0.3638642579532314,0.15,227857.2949016281
0.6200000000000004,3.4532218106046026,4.118782655150694,0.1484837186624078,8.448986967083528,8.727431429522662,0.36363776111495366,0.15,227857.2949016281
0.6250000000000004,3.495453643407339,4.162283695350583,0.1503013435667896,8.443746154010904,8.672984650432788,0.3634122006377538,0.15,227857.2949016281
0.6300000000000004,3.5376593262828973,4.2055126333471495,0.1521178429988503,8.438526996212369,8.618590548193835,0.36318757218653724,0.15,227857.2949016281
0.6350000000000005,3.5798389672560815,4.248469731685616,0.1539332216078927,8.433329393061264,8.564248787192863,0.36296387143041164,0.15,227857.2949016281
0.6400000000000005,3.621992673848792,4.2911552512370434,0.15574748402157482,8.428153244022832,8.509959033378227,0.3627410940424401,0.15,227857.2949016281
0.6450000000000005,3.6641205530804704,4.3335694512061265,0.15756063484592941,8.422998448648489,8.45572095425481,0.36251923569939437,0.15,227857.2949016281
0.6500000000000005,3.706222711468517,4.375712589138962,0.15937267866538168,8.41786490657008,8.40153421887943,0.362298292081508,0.15,227857.2949016281
0.6550000000000005,3.7482992550286776,4.417584920930802,0.16118362004276604,8.412752517494141,8.34739849785638,0.3620782588722291,0.15,227857.2949016281
0.6600000000000005,3.7903502892754033,4.459186700833776,0.16299346351934155,8.407661181196158,8.293313463333122,0.3618591317579733,0.15,227857.2949016281
0.6650000000000005,3.832375919222181,4.500518181464599,0.16480221361480618,8.402590797514815,8.23927878899614,0.3616409064278763,0.15,227857.2949016281
0.6700000000000005,3.8743762493818337,4.541579613812257,0.16660987482730974,8.397541266346254,8.18529415006693,0.3614235785735466,0.15,227857.2949016281
0.6750000000000005,3.916351383766795,4.5823712472456695,0.16841645163346566,8.392512487638319,8.13135922329816,0.36120714388881814,0.15,227857.2949016281
0.6800000000000005,3.9583014258893527,4.6228933295213395,0.17022194848836147,8.387504361384808,8.077473686969972,0.3609915980695025,0.15,227857.2949016281
0.6850000000000005,4.000226478761864,4.663146106790981,0.17202636982556807,8.382516787619721,8.023637220886439,0.3607769368131415,0.15,227857.2949016281
0.6900000000000005,4.042126644896943,4.703129823609127,0.17382972005714784,8.377549666411504,7.969849506372181,0.3605631558187596,0.15,227857.2949016281
0.6950000000000005,4.084002026307615,4.74284472294073,0.17563200357366127,8.372602897857293,7.916110226269133,0.3603502507866161,0.15,227857.2949016281
0.7000000000000005,4.1258527245074506,4.782291046168737,0.1774332247441727,8.367676382077168,7.862419064933471,0.36013821741795765,0.15,227857.2949016281
0.7050000000000005,4.167678840510664,4.8214690331016525,0.1792333879162545,8.36277001920839,7.808775708232694,0.3599270514147705,0.15,227857.2949016281
0.7100000000000005,4.209480474832184,4.860378921981091,0.18103249741599026,8.357883709399655,7.755179843542858,0.3597167484795328,0.15,227857.2949016281
0.7150000000000005,4.251257727487697,4.899020949489313,0.1828305575479765,8.353017352805331,7.701631159745981,0.35950730431496714,0.15,227857.2949016281
0.7200000000000005,4.293010697993659,4.937395350756747,0.1846275725953234,8.34817084957972,7.648129347227594,0.35929871462379304,0.15,227857.2949016281
0.7250000000000005,4.334739485367287,4.975502359369502,0.18642354681965406,8.343344099871299,7.594674097874459,0.3590909751084795,0.15,227857.2949016281
0.7300000000000005,4.3764441881265075,5.013342207376869,0.18821848446110276,8.33853700381698,7.541265105072446,0.3588840814709976,0.15,227857.2949016281
0.7350000000000005,4.418124904289891,5.050915125298812,0.1900123897383117,8.333749461536364,7.487902063704568,0.3586780294125735,0.15,227857.2949016281
0.7400000000000005,4.459781731376546,5.088221342133447,0.19180526684842672,8.328981373126009,7.434584670149183,0.3584728146334414,0.15,227857.2949016281
0.7450000000000006,4.501414766405996,5.1252610853645155,0.1935971199670918,8.324232638653685,7.381312622278358,0.35826843283259674,0.15,227857.2949016281
0.7500000000000006,4.543024105898012,5.162034580968853,0.1953879532484422,8.319503158152655,7.328085619456389,0.3580648797075497,0.15,227857.2949016281
0.7550000000000006,4.584609845872434,5.19854205342384,0.19717777082509627,8.314792831615947,7.274903362538497,0.35786215095407875,0.15,227857.2949016281
0.7600000000000006,4.62617208184895,5.234783725714861,0.19896657680814642,8.31010155899064,7.22176555386968,0.35766024226598486,0.15,227857.2949016281
0.7650000000000006,4.667710908846857,5.270759819342745,0.20075437528714848,8.30542924017216,7.168671897283736,0.35745914933484574,0.15,227857.2949016281
0.7700000000000006,4.709226421384784,5.30647055433121,0.20254117033011002,8.300775774998574,7.115622098102447,0.35725886784977046,0.15,227857.2949016281
0.7750000000000006,4.750718713480393,5.3419161492343035,0.20432696598347733,8.296141063244905,7.062615863134938,0.3570593934971548,0.15,227857.2949016281
